CENTRO_COSTO_MGX_COD_AGRUPACION	CENTRO_COSTO_MGX_DESC_AREA	DESCR_CORTA
282	SEDES MONTEVIDEO	MDEO
283	RECTORÍA	Rectoría  
284	REGISTRO ACADÉMICO	ORA
286	VICERRECTORÍA DEL MEDIO UNIVERSITARIO	VMU
287	VICERRECTORÍA ACADÉMICA	VRAC
288	VICERRECTORIA DE GESTION ECONOMICA Y DESARROLLO	VGED
289	CENTRO DE IDIOMAS	DPING     
290	ESCUELA DE NEGOCIOS	ESCNEG
292	DIRECCIÓN DE SISTEMAS DE INFORMACIÓN	DSI       
293	SECRETARIA DE INFORMACION ESTRATEGICA Y CALIDAD	SIEC
294	DRIC-SECRETARÍA DE COMUNICACIÓN INSTITUCIONAL	DRIC
295	DRIC-SECRETARÍA DE RELACIONES INSTITUCIONALES	DRIC
296	DRIC-SECRETARÍA DE PROMOCIÓN	DRIC
297	DRIC-DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL	DCI
298	VMU-DEPARTAMENTO DE FORMACIÓN HUMANÍSTICA	DFH
299	FACULTAD DE CIENCIAS EMPRESARIALES	FCE       
300	FACULTAD DE DERECHO	FD
301	FACULTAD DE CIENCIAS HUMANAS	FCH       
302	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT       
303	FACULTAD DE PSICOLOGÍA	FPSIC
304	FACULTAD DE ODONTOLOGÍA	FOD       
305	DRIC-SECRETARÍA DE ADMISIÓN	DRIC
306	SEDE PUNTA DEL ESTE- MALDONADO	PESTE     
307	DRIC-SECRETARÍA DE PROMOCIÓN	DRIC
308	SEDE LITORAL NORTE - SALTO	SALTO     
309	SECRETARÍA DE ASUNTOS JURÍDICOS	JURIDICA
310	SISTEMAS DE BIBLIOTECA	BIBLIOTECA
311	DRIC-DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL	DCI
312	DIRECCIÓN ADMINISTRATIVA Y FINANCIERA	DAF       
313	DIRECCIÓN DE PLANTA FÍSICA	DPF       
314	DIRECCIÓN DE GESTIÓN HUMANA	DGH       
315	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FETS
316	GENERALES	Generales 
317	CENTRO DE DESARROLLO TÉCNICO PROFESIONAL	CDTP
318	SEDES MONTEVIDEO	MDEO
319	RECTORÍA	Rectoría  
320	REGISTRO ACADÉMICO	ORA
321	VICERRECTORÍA DEL MEDIO UNIVERSITARIO	VMU
322	VICERRECTORÍA ACADÉMICA	VRAC
323	VICERRECTORIA DE GESTION ECONOMICA Y DESARROLLO	VGED
324	CENTRO DE IDIOMAS	DPING     
325	ESCUELA DE NEGOCIOS	ESCNEG
326	DIRECCIÓN DE SISTEMAS DE INFORMACIÓN	DSI       
327	SECRETARIA DE INFORMACION ESTRATEGICA Y CALIDAD	SIEC
328	DRIC-SECRETARÍA DE COMUNICACIÓN	DRIC
329	DRIC-SECRETARÍA DE RELACIONES INSTITUCIONALES	DRIC
330	SERVICIO DE ATENCIÓN ESTUDIANTIL	SAE
331	DEPARTAMENTO DE FORMACIÓN HUMANÍSTICA	DFH
332	FACULTAD DE CIENCIAS EMPRESARIALES	FCE       
333	FACULTAD DE DERECHO	FD
334	FACULTAD DE CIENCIAS HUMANAS	FCH       
335	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT       
336	FACULTAD DE PSICOLOGÍA	FPSIC
337	FACULTAD DE ODONTOLOGÍA	FOD       
338	DCI-SECRETARÍA DE ADMISIÓN	DCI
339	SEDE PUNTA DEL ESTE- MALDONADO	PESTE     
340	DCI-SECRETARÍA DE PROMOCIÓN	DCI
341	SEDE LITORAL NORTE - SALTO	SALTO     
342	SECRETARÍA DE ASUNTOS JURÍDICOS	JURIDICA
343	SISTEMAS DE BIBLIOTECA	BIBLIOTECA
344	DCI-DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL	DCI
345	DIRECCIÓN ADMINISTRATIVA Y FINANCIERA	DAF       
346	DIRECCIÓN DE PLANTA FÍSICA	DPF       
347	DIRECCIÓN DE GESTIÓN HUMANA	DGH       
348	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FETS
349	GENERALES	Generales 
350	CENTRO DE DESARROLLO TÉCNICO PROFESIONAL	CDTP
351	SEDES MONTEVIDEO	MDEO
352	RECTORÍA	Rectoría  
353	REGISTRO ACADÉMICO	ORA
354	DIRECCIÓN DE ASUNTOS ESTUDIANTILES	DAE       
355	VII Y VPA (EX-VRAC)	VRAC
356	VICERRECTORÍA DE GESTIÓN ECONÓMICA Y DESARROLLO	VGED
357	CENTRO DE IDIOMAS	DPING     
358	ESCUELA DE NEGOCIOS	ESCNEG
359	DIRECCIÓN DE SISTEMAS DE INFORMACIÓN	DSI       
360	SECRETARIA DE INFORMACION ESTRATÉGICA Y CALIDAD	SIEC
361	DCI-SECRETARÍA DE COMUNICACIÓN	DCI       
362	DIRECCIÓN DE ASUNTOS INTERNACIONALES Y ALUMNI	INTERESTL
363	SERVICIO DE ATENCIÓN ESTUDIANTIL	SAE
364	VICERRECTORÍA DE LA COMUNIDAD UNIVERSITARIA	VCU
366	FACULTAD DE CIENCIAS EMPRESARIALES	FCE       
367	FACULTAD DE DERECHO	FD
368	FACULTAD DE CIENCIAS HUMANAS	FCH       
369	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT       
370	FACULTAD DE PSICOLOGÍA	FPSIC
371	FACULTAD DE ODONTOLOGÍA	FOD       
372	DCI-SECRETARÍA DE ADMISIÓN	DCI
373	SEDE PUNTA DEL ESTE- MALDONADO	PESTE     
374	DCI-SECRETARÍA DE PROMOCIÓN	DCI
375	SEDE LITORAL NORTE - SALTO	SALTO     
376	SECRETARÍA DE ASUNTOS JURÍDICOS	JURIDICA
377	SISTEMAS DE BIBLIOTECA	BIBLIOTECA
378	DCI-DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL	DCI
379	DIRECCIÓN ADMINISTRATIVA Y FINANCIERA	DAF       
380	DIRECCIÓN DE PLANTA FÍSICA	DPF       
381	DIRECCIÓN DE GESTIÓN HUMANA	DGH       
382	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FETS
383	GENERALES	Generales 
384	CENTRO DE DESARROLLO TÉCNICO PROFESIONAL	CDTP
385	SEDES MONTEVIDEO	MDEO
386	RECTORÍA	Rectoría  
387	REGISTRO ACADÉMICO	ORA
388	DIRECCIÓN DE ASUNTOS ESTUDIANTILES	DAE       
390	VICERRECTORÍA ADMINISTRATIVA	VRAD      
391	CENTRO DE IDIOMAS	DPING     
392	ESCUELA DE NEGOCIOS	ESCNEG
393	DIRECCIÓN DE SISTEMAS DE INFORMACIÓN	DSI       
395	DCI-SECRETARÍA DE COMUNICACIÓN	DCI       
396	DIRECCIÓN DE ASUNTOS INTERNACIONALES Y ALUMNI	INTERESTL
397	SERVICIO DE ATENCIÓN ESTUDIANTIL	SAE
398	VICERRECTORÍA DE LA COMUNIDAD UNIVERSITARIA	VCU
399	VICERRECTORÍA DE PROGRAMAS ACADÉMICOS	VPA       
400	VICERRECTORÍA DE INVESTIGACIÓN E INNOVACIÓN	VII
401	VII-DEPARTAMENTOS, INSTITUTOS Y CENTROS	VII-deptos
402	CENTRO DE EDUCACIÓN CONTINUA	CEC       
403	FACULTAD DE CIENCIAS EMPRESARIALES	FCE       
404	FACULTAD DE DERECHO	FD
405	FACULTAD DE CIENCIAS HUMANAS	FCH       
406	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT       
408	FACULTAD DE ODONTOLOGÍA	FOD       
409	DCI-SECRETARÍA DE COMUNICACIÓN INTERNA	DCI
410	CAMPUS PUNTA DEL ESTE	PESTE     
411	DCI-SECRETARÍA DE PROMOCIÓN	DCI
412	CAMPUS SALTO	SALTO     
413	SECRETARÍA DE ASUNTOS JURÍDICOS	JURIDICA
414	SISTEMAS DE BIBLIOTECA	BIBLIOTECA
415	DCI-DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL	DCI
416	DIRECCIÓN ADMINISTRATIVA Y FINANCIERA	DAF       
417	DIRECCIÓN DE PLANTA FÍSICA	DPF       
418	DIRECCIÓN DE GESTIÓN HUMANA	DGH       
420	GENERALES	Generales 
421	CENTRO DE DESARROLLO TÉCNICO PROFESIONAL	CDTP
422	SEDES MONTEVIDEO	MDEO
423	RECTORÍA	Rectoría  
424	OFICINA DE TITULACIÓN	TITULACION
425	DIRECCIÓN DE ASUNTOS ESTUDIANTILES	DAE       
426	VICERRECTORÍA ADMINISTRATIVA	VRAD      
427	CENTRO DE IDIOMAS	DPING     
428	UCU BUSINESS SCHOOL	UCUBS     
429	DIRECCIÓN DE SISTEMAS DE INFORMACIÓN	DSI       
430	DCI-SECRETARÍA PUBLICIDAD Y PRODUCCIÓN	DCI
431	DIRECCIÓN DE ASUNTOS INTERNACIONALES Y ALUMNI	INTERESTL
433	VICERRECTORÍA DE LA COMUNIDAD UNIVERSITARIA	VCU
434	VICERRECTORÍA DE PROGRAMAS ACADÉMICOS	VPA       
435	VICERRECTORÍA DE INVESTIGACIÓN E INNOVACIÓN	VII
436	VII-DEPARTAMENTOS, INSTITUTOS Y CENTROS	VII-deptos
437	CENTRO DE EDUCACIÓN CONTINUA	CEC       
438	BEDELÍA	Bedelía   
439	FACULTAD DE CIENCIAS DE LA SALUD	FCS       
440	ESCUELA DE POSTGRADOS	EPG       
441	DCI-SECRETARÍA DE CONTENIDOS Y PRENSA	DCI
443	FACULTAD DE CIENCIAS EMPRESARIALES	FCE       
444	FACULTAD DE DERECHO	FD
445	FACULTAD DE CIENCIAS HUMANAS	FCH       
446	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT       
448	FACULTAD DE ODONTOLOGÍA	FOD       
450	CAMPUS PUNTA DEL ESTE	PESTE     
452	CAMPUS SALTO	SALTO     
453	SECRETARÍA DE ASUNTOS JURÍDICOS	JURIDICA
454	SISTEMAS DE BIBLIOTECA	BIBLIOTECA
455	DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL	DCI
456	DIRECCIÓN ADMINISTRATIVA Y FINANCIERA	DAF       
457	DIRECCIÓN DE PLANTA FÍSICA	DPF       
458	DIRECCIÓN DE GESTIÓN HUMANA	DGH       
460	GENERALES	Generales 
462	CAMPUS MONTEVIDEO	CAMPUS MVD
463	RECTORÍA	Rectoría  
464	OFICINA DE TITULACIÓN	TITULACION
465	DIRECCIÓN DE ASUNTOS ESTUDIANTILES	DAE       
466	VICERRECTORÍA ADMINISTRATIVA	VRAD      
467	CENTRO DE IDIOMAS	DPING     
468	UCU BUSINESS SCHOOL	UCUBS     
469	DIRECCIÓN DE SISTEMAS DE INFORMACIÓN	DSI       
471	DIRECCIÓN DE ASUNTOS INTERNACIONALES Y ALUMNI	INTERESTL
473	VICERRECTORÍA DE LA COMUNIDAD UNIVERSITARIA	VCU
474	VICERRECTORÍA DE PROGRAMAS ACADÉMICOS	VPA       
475	VICERRECTORÍA DE INVESTIGACIÓN E INNOVACIÓN	VII
476	VII-DEPARTAMENTOS, INSTITUTOS Y CENTROS	VII-deptos
477	CENTRO DE EDUCACIÓN CONTINUA	CEC       
478	BEDELÍA	Bedelía   
479	FACULTAD DE CIENCIAS DE LA SALUD	FCS       
480	ESCUELA DE POSTGRADOS	EPG       
481	FACULTAD DE CIENCIAS EMPRESARIALES	FCE       
482	FACULTAD DE DERECHO	FD
483	FACULTAD DE CIENCIAS HUMANAS	FCH       
484	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT       
485	FACULTAD DE ODONTOLOGÍA	FOD       
486	CAMPUS PUNTA DEL ESTE	PESTE     
487	CAMPUS SALTO	SALTO     
488	SECRETARÍA DE ASUNTOS JURÍDICOS	JURIDICA
489	SISTEMAS DE BIBLIOTECA	BIBLIOTECA
490	DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL	DCI
491	DIRECCIÓN ADMINISTRATIVA Y FINANCIERA	DAF       
492	DIRECCIÓN DE PLANTA FÍSICA	DPF       
493	DIRECCIÓN DE GESTIÓN HUMANA	DGH       
494	GENERALES	Generales 
495	CAMPUS MONTEVIDEO	CAMPUS MVD
496	RECTORÍA	Rectoría  
497	OFICINA DE TITULACIÓN	TITULACION
498	DIRECCIÓN DE ASUNTOS ESTUDIANTILES	DAE       
499	VICERRECTORÍA ADMINISTRATIVA	VRAD      
500	CENTRO DE IDIOMAS	DPING     
501	UCU BUSINESS SCHOOL	UCUBS     
502	DIRECCIÓN DE SISTEMAS DE INFORMACIÓN	DSI       
503	DIRECCIÓN DE ASUNTOS INTERNACIONALES Y ALUMNI	INTERESTL
504	VICERRECTORÍA DE LA COMUNIDAD UNIVERSITARIA	VCU
505	VICERRECTORÍA DE PROGRAMAS ACADÉMICOS	VPA       
506	VICERRECTORÍA DE INVESTIGACIÓN E INNOVACIÓN	VII
507	VII-DEPARTAMENTOS, INSTITUTOS Y CENTROS	VII-deptos
508	CENTRO DE EDUCACIÓN CONTINUA	CEC       
509	BEDELÍA	Bedelía   
510	FACULTAD DE CIENCIAS DE LA SALUD	FCS       
511	ESCUELA DE POSTGRADOS	EPG       
512	FACULTAD DE CIENCIAS EMPRESARIALES	FCE       
513	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT       
514	FACULTAD DE ODONTOLOGÍA	FOD       
515	CAMPUS PUNTA DEL ESTE	PESTE     
516	CAMPUS SALTO	SALTO     
517	SECRETARÍA DE ASUNTOS JURÍDICOS	JURIDICA
518	FACULTAD DE DERECHO	FD
519	FACULTAD DE CIENCIAS HUMANAS	FCH       
520	SISTEMAS DE BIBLIOTECA	BIBLIOTECA
521	DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL	DCI
522	DIRECCIÓN ADMINISTRATIVA Y FINANCIERA	DAF       
523	DIRECCIÓN DE PLANTA FÍSICA	DPF       
524	DIRECCIÓN DE GESTIÓN HUMANA	DGH       
525	GENERALES	Generales 
526	CAMPUS MONTEVIDEO	CAMPUS MVD
527	RECTORÍA	Rectoría  
528	OFICINA DE TITULACIÓN	TITULACION
529	DIRECCIÓN DE ASUNTOS ESTUDIANTILES	DAE       
530	VICERRECTORÍA ADMINISTRATIVA	VRAD      
531	CENTRO DE IDIOMAS	DPING     
532	UCU BUSINESS SCHOOL	UCUBS     
533	DIRECCIÓN DE SISTEMAS DE INFORMACIÓN	DSI       
534	DIRECCIÓN DE ASUNTOS INTERNACIONALES Y ALUMNI	INTERESTL
535	VICERRECTORÍA DE LA COMUNIDAD UNIVERSITARIA	VCU
536	VICERRECTORÍA DE PROGRAMAS ACADÉMICOS	VPA       
537	VICERRECTORÍA DE INVESTIGACIÓN E INNOVACIÓN	VII
538	VII-DEPARTAMENTOS, INSTITUTOS Y CENTROS	VII-deptos
539	CENTRO DE EDUCACIÓN CONTINUA	CEC       
540	BEDELÍA	Bedelía   
541	FACULTAD DE CIENCIAS DE LA SALUD	FCS       
542	ESCUELA DE POSTGRADOS	EPG       
1059	ESCUELA DE POSTGRADO - DIRECCION	VPA
1060	DIRECCIÓN DE ASUNTOS ESTUDIANTILES	VCU
1067	MAESTRIA EN MARKETING	UCUBS
1075	CLINICA UNIVERSITARIA	VII-DEPTOS
45	DECANATO (FDER)	FDyCH
66	CENTRO IGNIS	VII-DEPTOS
70	DECANATO FCCHH	FDyCH
741	INGENIERÍA EN INFORMÁTICA (SALTO)	FIT
857	FPS - MAESTRIA EN NUTRICION	FCS
